Tree,Cable,Timestamp,baseline_inner,baseline_middle,baseline_outer
FB1,4b,2023-08-25T10:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T10:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T10:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T10:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T11:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T11:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T11:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T11:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T12:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T12:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T12:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T12:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T13:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T13:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T13:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T13:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T14:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T14:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T14:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T14:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T15:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T15:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T15:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T15:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T16:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T16:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T16:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T16:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T17:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T17:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T17:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-25T17:45:00Z,no_bl_val,no_bl_val,no_bl_val
