Tree,Cable,Location
ET1,1,Branch
ET1,2,Branch
ET1,3,Branch
ET1,4,Trunk
ET1,5,Trunk
ET2,1,Branch
ET2,2,Branch
ET2,3,Branch
ET2,4,Branch
ET2,5,Trunk
ET2,6,Trunk
ET3,1,Branch
ET3,2,Branch
ET3,3,Branch
ET3,4,Branch
ET3,5,Branch
ET3,6,Branch
ET3,7,Trunk
ET3,8,Trunk
ET4,1,Branch
ET4,2,Branch
ET4,3,Branch
ET4,4,Branch
ET4,5,Branch
ET4,6,Trunk
ET4,7,Trunk
ET5,1,Branch
ET5,2,Branch
ET5,3,Branch
ET5,4,Branch
ET5,5,Trunk
ET5,6,Trunk
ET6,1,Branch
ET6,2,Branch
ET6,3,Branch
ET6,4,Branch
ET6,5,Branch
ET6,6,Trunk
ET6,7,Trunk
ET7,1,Branch
ET7,2,Branch
ET7,3,Branch
ET7,4,Branch
ET7,5,Trunk
ET7,6,Trunk
ET8,1,Branch
ET8,2,Branch
ET8,3,Branch
ET8,4,Branch
ET8,5,Branch
ET8,6,Trunk
ET8,7,Trunk
FB1,1,Branch
FB1,2,Branch
FB1,3,Branch
FB1,4,Branch
FB1,5,Branch
FB1,6,Branch
FB1,7,Trunk
FB1,8,Trunk
FB2,1,Branch
FB2,2,Branch
FB2,3,Branch
FB2,4,Branch
FB2,5,Branch
FB2,6,Trunk
FB2,7,Trunk
FB3,1,Branch
FB3,2,Branch
FB3,3,Branch
FB3,4,Trunk
FB3,5,Trunk
FB3,6,Branch
FB4,1,Branch
FB4,2,Branch
FB4,3,Branch
FB4,4,Branch
FB4,5,Trunk
FB4,6,Trunk
FB5,1,Branch
FB5,2,Branch
FB5,3,Branch
FB5,4,Branch
FB5,5,Trunk
FB5,6,Trunk
FB6,1,Branch
FB6,2,Branch
FB6,3,Branch
FB6,4,Branch
FB6,5,Trunk
FB6,6,Trunk
FB7,1,Branch
FB7,2,Branch
FB7,3,Branch
FB7,4,Branch
FB7,5,Trunk
FB7,6,Trunk
FB8,1,Branch
FB8,2,Branch
FB8,3,Branch
FB8,4,Branch
FB8,5,Trunk
FB8,6,Trunk
TV1,1,Branch
TV1,2,Branch
TV1,3,Branch
TV1,4,Branch
TV1,5,Branch
TV1,6,Trunk
TV1,7,Trunk
TV2,1,Branch
TV2,2,Branch
TV2,3,Branch
TV2,4,Branch
TV2,5,Branch
TV2,6,Trunk
TV2,7,Trunk
TV3,1,Branch
TV3,2,Branch
TV3,3,Branch
TV3,4,Branch
TV3,5,Branch
TV3,6,Branch
TV3,7,Trunk
TV3,8,Trunk
TV4,1,Branch
TV4,2,Branch
TV4,3,Branch
TV4,4,Branch
TV4,5,Branch
TV4,6,Branch
TV4,7,Trunk
TV4,8,Trunk
