Tree,Cable,Timestamp,Action
ET1,2,2022-12-07T10:00:00Z,M
ET1,2,2023-05-04T10:00:00Z,M
ET1,3,2022-12-07T10:00:00Z,M
ET1,5,2022-12-07T10:00:00Z,MR
ET2,1,2022-10-31T10:00:00Z,R
ET2,1,2022-12-22T10:00:00Z,M
ET2,1,2023-01-24T10:00:00Z,M
ET2,5,2022-12-22T10:00:00Z,R
ET2,5,2023-05-16T10:00:00Z,A
ET2,6,2022-10-31T10:00:00Z,M
ET2,6,2023-04-18T10:00:00Z,M
ET2,6,2023-05-04T10:00:00Z,R
ET3,4,2024-01-16T10:00:00Z,MR
ET3,7,2022-11-23T10:00:00Z,R
ET4,3,2023-10-06T10:00:00Z,MR
ET4,4,2023-02-08T10:00:00Z,A
ET4,5,2022-12-13T10:00:00Z,M
ET4,6,2022-12-13T10:00:00Z,R
ET4,6,2023-04-12T10:00:00Z,M
ET4,6,2023-09-22T10:00:00Z,MR
ET4,7,2022-12-13T10:00:00Z,M
ET5,1,2023-01-06T10:00:00Z,M
ET5,2,2023-01-06T10:00:00Z,M
ET6,1,2023-03-30T10:00:00Z,R
ET6,2,2023-04-19T10:00:00Z,MR
ET6,4,2022-01-03T10:00:00Z,R
ET6,5,2023-01-08T10:00:00Z,R
ET6,5,2023-11-02T10:00:00Z,MR
ET6,5,2024-01-18T10:00:00Z,W
ET6,6,2022-01-03T10:00:00Z,MR
ET6,6,2022-01-11T10:00:00Z,R
ET7,4,2022-11-15T10:00:00Z,W
ET7,4,2022-12-27T10:00:00Z,R
ET8,1,2023-05-11T10:00:00Z,M
ET8,2,2024-01-25T10:00:00Z,M
ET8,3,2023-05-11T10:00:00Z,M
ET8,4,2023-01-03T10:00:00Z,MR
ET8,4,2023-02-17T10:00:00Z,W
ET8,5,2023-11-08T10:00:00Z,R
ET8,6,2023-01-13T10:00:00Z,R
ET8,6,2023-01-31T10:00:00Z,R
ET8,6,2023-03-21T10:00:00Z,W
ET8,7,2022-12-08T10:00:00Z,MR
ET8,7,2023-02-17T10:00:00Z,W
ET8,7,2023-03-21T10:00:00Z,R
ET8,7,2023-05-24T10:00:00Z,R
FB1,3,2023-09-13T10:00:00Z,M
FB1,5,2022-11-25T10:00:00Z,M
FB1,5,2022-12-20T10:00:00Z,R
FB1,5,2023-10-18T10:00:00Z,MR
FB1,8,2023-01-25T10:00:00Z,R
FB2,3,2023-03-02T10:00:00Z,R
FB2,7,2024-01-03T10:00:00Z,H
FB3,1,2022-12-09T10:00:00Z,MR
FB3,3,2023-03-28T10:00:00Z,R
FB3,4,2023-12-28T10:00:00Z,MR
FB3,5,2024-01-12T10:00:00Z,R
FB4,2,2023-05-10T10:00:00Z,W
FB4,4,2022-12-28T10:00:00Z,R
FB4,4,2022-01-12T10:00:00Z,M
FB4,6,2022-12-28T10:00:00Z,R
FB4,6,2023-08-30T10:00:00Z,R
FB5,3,2023-11-14T10:00:00Z,M
FB6,1,2022-10-19T10:00:00Z,R
FB6,1,2023-03-23T10:00:00Z,M
FB6,1,2023-10-27T10:00:00Z,R
FB6,2,2022-10-03T10:00:00Z,R
FB6,2,2022-11-09T10:00:00Z,A
FB6,2,2023-10-12T10:00:00Z,MR
FB6,3,2022-10-03T10:00:00Z,R
FB6,3,2023-03-23T10:00:00Z,M
FB6,3,2023-05-10T10:00:00Z,H
FB6,3,2023-07-17T10:00:00Z,M
FB6,4,2022-10-03T10:00:00Z,R
FB6,5,2022-10-19T10:00:00Z,R
FB6,6,2022-10-19T10:00:00Z,R
FB6,6,2024-01-09T10:00:00Z,R
FB7,1,2022-11-09T10:00:00Z,MR
FB7,2,2022-11-09T10:00:00Z,R
FB7,2,2023-01-17T10:00:00Z,M
FB7,2,2023-02-16T10:00:00Z,MR
FB7,5,2023-11-09T10:00:00Z,MR
FB8,2,2023-12-27T10:00:00Z,M
FB8,4,2022-11-29T10:00:00Z,M
FB8,5,2022-11-29T10:00:00Z,R
FB8,5,2022-12-29T10:00:00Z,M
FB8,5,2023-02-16T10:00:00Z,R
TV1,2,2023-02-22T10:00:00Z,R
TV1,5,2022-11-11T10:00:00Z,A
TV1,5,2023-05-30T10:00:00Z,H
TV1,6,2023-10-17T10:00:00Z,H
TV1,7,2022-11-11T10:00:00Z,A
TV1,7,2023-04-13T10:00:00Z,R
TV1,7,2023-05-30T10:00:00Z,H
TV1,7,2023-09-19T10:00:00Z,R
TV2,2,2023-01-20T10:00:00Z,R
TV2,2,2024-02-03T10:00:00Z,M
TV2,7,2022-12-14T10:00:00Z,R
TV2,7,2023-05-30T10:00:00Z,R
TV3,1,2023-01-20T10:00:00Z,W
TV3,4,2022-12-01T10:00:00Z,R
TV3,5,2022-12-01T10:00:00Z,A
TV3,6,2022-11-11T10:00:00Z,M
TV3,6,2022-12-01T10:00:00Z,M
TV3,6,2023-03-29T10:00:00Z,M
TV3,6,2023-10-05T10:00:00Z,M
TV3,8,2022-11-11T10:00:00Z,R
TV4,3,2024-02-07T10:00:00Z,H
TV4,6,2023-05-04T10:00:00Z,M
