periodBegin,periodEnd,Tree
2022-07-05T00:45:00Z,2022-07-05T05:30:00Z,ET1
2022-07-13T23:30:00Z,2022-07-14T03:00:00Z,ET1
2022-07-16T22:30:00Z,2022-07-17T01:30:00Z,ET1
2022-07-22T20:30:00Z,2022-07-22T23:45:00Z,ET1
2022-07-23T18:15:00Z,2022-07-23T21:15:00Z,ET1
2022-07-29T01:30:00Z,2022-07-29T04:30:00Z,ET1
2022-07-29T23:15:00Z,2022-07-30T03:30:00Z,ET1
2022-07-31T22:00:00Z,2022-08-01T03:00:00Z,ET1
2022-08-12T23:15:00Z,2022-08-13T05:30:00Z,ET1
2022-08-13T19:45:00Z,2022-08-14T00:00:00Z,ET1
2022-08-17T01:00:00Z,2022-08-17T04:15:00Z,ET1
2022-08-19T22:45:00Z,2022-08-20T03:30:00Z,ET1
2022-09-12T01:00:00Z,2022-09-12T04:15:00Z,ET1
2022-10-03T18:30:00Z,2022-10-03T21:45:00Z,ET1
2022-10-14T01:15:00Z,2022-10-14T04:15:00Z,ET1
2022-10-14T23:45:00Z,2022-10-15T03:30:00Z,ET1
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET1
2022-11-27T22:30:00Z,2022-11-28T03:00:00Z,ET1
2022-11-28T23:00:00Z,2022-11-29T02:45:00Z,ET1
2022-12-02T01:00:00Z,2022-12-02T04:30:00Z,ET1
2022-12-03T18:15:00Z,2022-12-03T21:45:00Z,ET1
2022-12-06T22:00:00Z,2022-12-07T01:15:00Z,ET1
2023-03-20T19:00:00Z,2023-03-20T22:30:00Z,ET1
2023-07-10T01:00:00Z,2023-07-10T04:30:00Z,ET1
2023-07-27T20:30:00Z,2023-07-28T01:00:00Z,ET1
2023-07-28T18:15:00Z,2023-07-28T21:30:00Z,ET1
2023-07-31T21:00:00Z,2023-08-01T05:30:00Z,ET1
2023-08-03T21:45:00Z,2023-08-04T01:30:00Z,ET1
2023-08-10T22:30:00Z,2023-08-11T01:30:00Z,ET1
2023-09-28T22:45:00Z,2023-09-29T05:15:00Z,ET1
2023-10-23T02:15:00Z,2023-10-23T05:30:00Z,ET1
2023-10-25T02:15:00Z,2023-10-25T05:30:00Z,ET1
2023-11-04T23:00:00Z,2023-11-05T04:15:00Z,ET1
2023-11-06T21:30:00Z,2023-11-07T00:30:00Z,ET1
2023-11-07T02:00:00Z,2023-11-07T05:45:00Z,ET1
2023-11-09T18:00:00Z,2023-11-09T22:45:00Z,ET1
2023-11-14T21:00:00Z,2023-11-15T00:15:00Z,ET1
2023-11-24T20:30:00Z,2023-11-25T01:00:00Z,ET1
2023-12-15T00:45:00Z,2023-12-15T04:00:00Z,ET1
2023-12-23T22:15:00Z,2023-12-24T01:30:00Z,ET1
2024-01-05T18:00:00Z,2024-01-05T21:15:00Z,ET1
2024-01-09T21:30:00Z,2024-01-10T05:00:00Z,ET1
2024-01-11T22:00:00Z,2024-01-12T05:45:00Z,ET1
2024-01-12T22:00:00Z,2024-01-13T01:00:00Z,ET1
2024-01-28T21:15:00Z,2024-01-29T01:30:00Z,ET1
2024-01-30T01:15:00Z,2024-01-30T04:45:00Z,ET1
2024-02-02T20:00:00Z,2024-02-02T23:00:00Z,ET1
2024-02-06T18:00:00Z,2024-02-06T23:00:00Z,ET1
2024-02-10T02:30:00Z,2024-02-10T06:00:00Z,ET1
2024-02-11T20:00:00Z,2024-02-12T03:30:00Z,ET1
2024-02-12T18:15:00Z,2024-02-12T22:00:00Z,ET1
2024-02-14T02:15:00Z,2024-02-14T05:30:00Z,ET1
2024-02-22T19:45:00Z,2024-02-23T02:00:00Z,ET1
2024-02-23T18:00:00Z,2024-02-23T22:45:00Z,ET1
2024-03-08T23:30:00Z,2024-03-09T04:45:00Z,ET1
2024-03-21T21:00:00Z,2024-03-22T00:00:00Z,ET1
2024-03-22T18:15:00Z,2024-03-23T00:45:00Z,ET1
2024-03-23T20:30:00Z,2024-03-24T01:30:00Z,ET1
2024-04-09T21:45:00Z,2024-04-10T00:45:00Z,ET1
2024-04-10T22:15:00Z,2024-04-11T01:30:00Z,ET1
2024-04-28T18:00:00Z,2024-04-28T21:30:00Z,ET1
2024-04-29T19:15:00Z,2024-04-29T23:00:00Z,ET1
2024-05-12T19:00:00Z,2024-05-12T22:00:00Z,ET1
2024-05-13T23:00:00Z,2024-05-14T04:45:00Z,ET1
2024-06-10T02:00:00Z,2024-06-10T05:15:00Z,ET1
2024-07-06T18:30:00Z,2024-07-06T23:30:00Z,ET1
2024-07-09T01:00:00Z,2024-07-09T04:30:00Z,ET1
