periodBegin,periodEnd,Tree
2022-06-10T00:45:00Z,2022-06-10T04:45:00Z,ET8
2022-07-04T21:45:00Z,2022-07-05T05:30:00Z,ET8
2022-07-06T02:30:00Z,2022-07-06T05:30:00Z,ET8
2022-07-20T00:15:00Z,2022-07-20T05:45:00Z,ET8
2022-07-22T21:30:00Z,2022-07-23T01:15:00Z,ET8
2022-07-24T00:00:00Z,2022-07-24T05:30:00Z,ET8
2022-07-31T01:30:00Z,2022-07-31T04:30:00Z,ET8
2022-07-31T18:15:00Z,2022-07-31T21:15:00Z,ET8
2022-08-13T00:30:00Z,2022-08-13T05:45:00Z,ET8
2022-08-20T20:00:00Z,2022-08-20T23:00:00Z,ET8
2022-09-01T20:00:00Z,2022-09-01T23:00:00Z,ET8
2022-09-12T00:45:00Z,2022-09-12T04:15:00Z,ET8
2022-09-16T00:45:00Z,2022-09-16T03:45:00Z,ET8
2022-09-23T18:15:00Z,2022-09-23T21:15:00Z,ET8
2022-09-28T22:45:00Z,2022-09-29T05:30:00Z,ET8
2022-10-03T00:00:00Z,2022-10-03T05:30:00Z,ET8
2022-10-03T18:00:00Z,2022-10-03T21:45:00Z,ET8
2022-10-05T20:30:00Z,2022-10-06T00:15:00Z,ET8
2022-10-13T20:00:00Z,2022-10-14T04:15:00Z,ET8
2022-10-14T22:30:00Z,2022-10-15T05:30:00Z,ET8
2022-10-16T00:45:00Z,2022-10-16T04:15:00Z,ET8
2022-11-11T00:45:00Z,2022-11-11T03:45:00Z,ET8
2022-11-14T00:45:00Z,2022-11-14T03:45:00Z,ET8
2022-11-18T02:00:00Z,2022-11-18T05:00:00Z,ET8
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET8
2022-11-28T22:45:00Z,2022-11-29T02:45:00Z,ET8
2022-11-29T22:00:00Z,2022-11-30T03:00:00Z,ET8
2022-12-02T00:45:00Z,2022-12-02T04:45:00Z,ET8
2022-12-03T18:15:00Z,2022-12-03T21:30:00Z,ET8
2022-12-28T22:15:00Z,2022-12-29T03:00:00Z,ET8
2023-01-11T22:00:00Z,2023-01-12T01:00:00Z,ET8
2023-03-08T19:30:00Z,2023-03-08T23:00:00Z,ET8
2023-04-30T02:15:00Z,2023-04-30T05:15:00Z,ET8
2023-05-01T21:00:00Z,2023-05-02T00:30:00Z,ET8
2023-06-18T01:30:00Z,2023-06-18T05:30:00Z,ET8
2023-06-27T21:15:00Z,2023-06-28T03:30:00Z,ET8
2023-07-05T19:30:00Z,2023-07-06T03:15:00Z,ET8
2023-07-08T20:30:00Z,2023-07-08T23:45:00Z,ET8
