periodBegin,periodEnd,Tree
2022-06-10T01:45:00Z,2022-06-10T05:00:00Z,FB3
2022-06-25T00:45:00Z,2022-06-25T04:30:00Z,FB3
2022-07-05T02:45:00Z,2022-07-05T05:45:00Z,FB3
2022-07-09T23:15:00Z,2022-07-10T05:30:00Z,FB3
2022-07-20T00:30:00Z,2022-07-20T05:45:00Z,FB3
2022-07-29T18:00:00Z,2022-07-29T21:45:00Z,FB3
2022-08-06T21:30:00Z,2022-08-07T00:45:00Z,FB3
2022-08-19T23:15:00Z,2022-08-20T02:30:00Z,FB3
2022-08-20T19:30:00Z,2022-08-20T23:00:00Z,FB3
2022-09-03T23:15:00Z,2022-09-04T03:00:00Z,FB3
2022-09-16T00:45:00Z,2022-09-16T04:00:00Z,FB3
2022-09-29T01:45:00Z,2022-09-29T05:30:00Z,FB3
2022-09-30T00:45:00Z,2022-09-30T03:45:00Z,FB3
2022-10-05T19:00:00Z,2022-10-06T03:15:00Z,FB3
2022-10-14T22:45:00Z,2022-10-15T05:30:00Z,FB3
2022-10-16T00:00:00Z,2022-10-16T05:30:00Z,FB3
2022-10-17T01:15:00Z,2022-10-17T04:45:00Z,FB3
2022-10-22T23:45:00Z,2022-10-23T03:00:00Z,FB3
2022-10-24T20:15:00Z,2022-10-24T23:30:00Z,FB3
2022-10-25T00:00:00Z,2022-10-25T05:30:00Z,FB3
2022-10-31T18:00:00Z,2022-10-31T21:45:00Z,FB3
2022-11-03T21:15:00Z,2022-11-04T02:00:00Z,FB3
2022-11-04T02:45:00Z,2022-11-04T05:45:00Z,FB3
2022-11-13T19:45:00Z,2022-11-14T01:45:00Z,FB3
2022-11-16T22:30:00Z,2022-11-17T01:30:00Z,FB3
2022-11-25T01:30:00Z,2022-11-25T05:45:00Z,FB3
2022-11-26T01:30:00Z,2022-11-26T05:45:00Z,FB3
2022-11-27T23:15:00Z,2022-11-28T02:30:00Z,FB3
2022-11-29T00:30:00Z,2022-11-29T03:30:00Z,FB3
2022-11-29T22:45:00Z,2022-11-30T02:45:00Z,FB3
2022-12-01T22:45:00Z,2022-12-02T03:15:00Z,FB3
2022-12-04T02:30:00Z,2022-12-04T05:45:00Z,FB3
2022-12-05T19:00:00Z,2022-12-05T22:15:00Z,FB3
2022-12-07T02:45:00Z,2022-12-07T06:00:00Z,FB3
2022-12-07T22:00:00Z,2022-12-08T01:00:00Z,FB3
2022-12-08T02:00:00Z,2022-12-08T06:00:00Z,FB3
2022-12-08T18:00:00Z,2022-12-09T00:15:00Z,FB3
2023-01-08T00:00:00Z,2023-01-08T05:15:00Z,FB3
2023-01-09T20:45:00Z,2023-01-10T06:00:00Z,FB3
2023-01-11T02:45:00Z,2023-01-11T06:00:00Z,FB3
2023-01-12T00:45:00Z,2023-01-12T03:45:00Z,FB3
2023-01-13T19:45:00Z,2023-01-14T02:00:00Z,FB3
2023-01-19T18:00:00Z,2023-01-19T23:00:00Z,FB3
2023-01-25T00:30:00Z,2023-01-25T05:30:00Z,FB3
2023-02-09T21:15:00Z,2023-02-10T00:15:00Z,FB3
2023-02-20T02:45:00Z,2023-02-20T06:00:00Z,FB3
