periodBegin,periodEnd,Tree
2022-07-05T01:30:00Z,2022-07-05T05:45:00Z,FB4
2022-07-06T00:00:00Z,2022-07-06T05:30:00Z,FB4
2022-07-09T23:00:00Z,2022-07-10T05:45:00Z,FB4
2022-07-29T18:00:00Z,2022-07-29T21:45:00Z,FB4
2022-08-06T21:30:00Z,2022-08-07T00:45:00Z,FB4
2022-08-13T00:00:00Z,2022-08-13T05:45:00Z,FB4
2022-08-20T19:30:00Z,2022-08-20T23:00:00Z,FB4
2022-08-24T00:15:00Z,2022-08-24T05:30:00Z,FB4
2022-09-03T23:15:00Z,2022-09-04T03:00:00Z,FB4
2022-09-07T22:00:00Z,2022-09-08T01:15:00Z,FB4
2022-10-02T23:45:00Z,2022-10-03T03:30:00Z,FB4
2022-10-03T18:00:00Z,2022-10-03T21:30:00Z,FB4
2022-10-31T18:00:00Z,2022-10-31T21:45:00Z,FB4
2022-11-03T21:30:00Z,2022-11-04T01:30:00Z,FB4
2022-11-04T03:00:00Z,2022-11-04T06:00:00Z,FB4
2022-11-13T23:15:00Z,2022-11-14T02:30:00Z,FB4
2022-11-30T00:00:00Z,2022-11-30T03:00:00Z,FB4
2022-12-07T02:45:00Z,2022-12-07T05:45:00Z,FB4
2022-12-07T21:45:00Z,2022-12-08T01:00:00Z,FB4
2022-12-08T02:00:00Z,2022-12-08T06:00:00Z,FB4
2022-12-08T19:15:00Z,2022-12-08T23:15:00Z,FB4
2022-12-12T18:00:00Z,2022-12-12T23:30:00Z,FB4
2022-12-14T19:15:00Z,2022-12-14T22:45:00Z,FB4
2022-12-16T01:30:00Z,2022-12-16T04:30:00Z,FB4
2022-12-16T22:00:00Z,2022-12-17T01:15:00Z,FB4
2023-01-10T00:30:00Z,2023-01-10T06:00:00Z,FB4
2023-01-11T01:45:00Z,2023-01-11T06:00:00Z,FB4
2023-01-13T19:15:00Z,2023-01-14T03:00:00Z,FB4
2023-01-25T03:00:00Z,2023-01-25T06:00:00Z,FB4
2023-02-09T03:00:00Z,2023-02-09T06:00:00Z,FB4
2023-02-09T21:15:00Z,2023-02-10T00:15:00Z,FB4
2023-02-22T18:00:00Z,2023-02-22T22:30:00Z,FB4
2023-02-26T23:00:00Z,2023-02-27T06:00:00Z,FB4
2023-03-01T01:45:00Z,2023-03-01T06:00:00Z,FB4
2023-03-01T18:00:00Z,2023-03-02T06:00:00Z,FB4
2023-03-02T18:00:00Z,2023-03-03T01:15:00Z,FB4
2023-03-03T18:15:00Z,2023-03-03T23:45:00Z,FB4
2023-03-04T01:15:00Z,2023-03-04T06:00:00Z,FB4
2023-03-05T22:30:00Z,2023-03-06T01:45:00Z,FB4
2023-03-08T18:00:00Z,2023-03-08T23:30:00Z,FB4
2023-03-17T19:15:00Z,2023-03-17T23:15:00Z,FB4
2023-03-18T00:30:00Z,2023-03-18T05:45:00Z,FB4
2023-03-27T02:45:00Z,2023-03-27T06:00:00Z,FB4
2023-04-01T21:15:00Z,2023-04-02T01:15:00Z,FB4
2023-04-05T21:30:00Z,2023-04-06T02:15:00Z,FB4
2023-04-08T22:00:00Z,2023-04-09T04:45:00Z,FB4
2023-04-11T18:00:00Z,2023-04-11T21:30:00Z,FB4
2023-04-12T19:30:00Z,2023-04-13T02:45:00Z,FB4
2023-04-15T18:00:00Z,2023-04-15T21:00:00Z,FB4
2023-04-16T18:00:00Z,2023-04-16T22:30:00Z,FB4
2023-04-20T20:00:00Z,2023-04-20T23:30:00Z,FB4
2023-05-01T23:45:00Z,2023-05-02T04:00:00Z,FB4
2023-05-05T19:00:00Z,2023-05-05T22:45:00Z,FB4
2023-05-09T19:15:00Z,2023-05-09T23:00:00Z,FB4
2023-05-20T01:45:00Z,2023-05-20T05:30:00Z,FB4
2023-05-22T18:15:00Z,2023-05-22T21:30:00Z,FB4
2023-05-30T02:15:00Z,2023-05-30T05:15:00Z,FB4
2023-06-03T18:15:00Z,2023-06-03T22:15:00Z,FB4
2023-06-06T18:00:00Z,2023-06-06T22:45:00Z,FB4
2023-06-11T18:00:00Z,2023-06-11T22:30:00Z,FB4
2023-06-11T23:30:00Z,2023-06-12T05:30:00Z,FB4
