periodBegin,periodEnd,Tree
2022-07-12T23:30:00Z,2022-07-13T05:45:00Z,TV2
2022-07-14T21:15:00Z,2022-07-15T05:45:00Z,TV2
2022-07-15T22:30:00Z,2022-07-16T03:30:00Z,TV2
2022-07-16T18:15:00Z,2022-07-17T05:45:00Z,TV2
2022-07-18T00:15:00Z,2022-07-18T06:00:00Z,TV2
2022-07-18T18:30:00Z,2022-07-19T01:30:00Z,TV2
2022-07-20T00:45:00Z,2022-07-20T05:45:00Z,TV2
2022-07-20T18:00:00Z,2022-07-21T02:45:00Z,TV2
2022-07-22T02:15:00Z,2022-07-22T05:30:00Z,TV2
2022-07-22T20:45:00Z,2022-07-23T05:45:00Z,TV2
2022-07-25T19:30:00Z,2022-07-26T05:30:00Z,TV2
2022-07-30T02:45:00Z,2022-07-30T05:45:00Z,TV2
2022-07-30T18:00:00Z,2022-07-31T06:00:00Z,TV2
2022-08-01T03:00:00Z,2022-08-01T06:00:00Z,TV2
2022-08-02T00:00:00Z,2022-08-02T06:00:00Z,TV2
2022-08-04T18:00:00Z,2022-08-05T06:00:00Z,TV2
2022-08-06T21:45:00Z,2022-08-07T02:15:00Z,TV2
2022-08-08T18:15:00Z,2022-08-09T05:45:00Z,TV2
2022-08-09T18:30:00Z,2022-08-09T23:30:00Z,TV2
2022-08-10T01:00:00Z,2022-08-10T06:00:00Z,TV2
2022-08-12T23:30:00Z,2022-08-13T05:30:00Z,TV2
2022-08-13T18:15:00Z,2022-08-13T23:30:00Z,TV2
2022-08-21T21:00:00Z,2022-08-22T02:45:00Z,TV2
2022-08-27T19:30:00Z,2022-08-28T01:15:00Z,TV2
2022-09-03T23:15:00Z,2022-09-04T03:00:00Z,TV2
2022-09-04T18:45:00Z,2022-09-04T23:45:00Z,TV2
2022-09-11T22:00:00Z,2022-09-12T04:30:00Z,TV2
2022-09-25T18:30:00Z,2022-09-25T21:30:00Z,TV2
2022-09-28T01:30:00Z,2022-09-28T05:30:00Z,TV2
2022-10-02T23:15:00Z,2022-10-03T05:30:00Z,TV2
2022-10-12T18:15:00Z,2022-10-12T23:45:00Z,TV2
2022-11-03T21:30:00Z,2022-11-04T01:30:00Z,TV2
2022-11-30T02:30:00Z,2022-11-30T05:45:00Z,TV2
2022-12-04T02:45:00Z,2022-12-04T05:45:00Z,TV2
2022-12-07T21:15:00Z,2022-12-08T00:45:00Z,TV2
2023-02-28T18:15:00Z,2023-03-01T06:00:00Z,TV2
2023-03-08T18:45:00Z,2023-03-08T22:15:00Z,TV2
2023-03-11T18:45:00Z,2023-03-11T22:30:00Z,TV2
2023-03-14T21:45:00Z,2023-03-15T03:00:00Z,TV2
2023-03-17T18:30:00Z,2023-03-18T05:45:00Z,TV2
2023-04-01T22:30:00Z,2023-04-02T04:15:00Z,TV2
2023-04-05T22:30:00Z,2023-04-06T02:45:00Z,TV2
2023-04-24T23:45:00Z,2023-04-25T03:45:00Z,TV2
2023-04-26T23:15:00Z,2023-04-27T02:45:00Z,TV2
2023-04-27T19:00:00Z,2023-04-27T22:00:00Z,TV2
2023-04-28T01:00:00Z,2023-04-28T05:15:00Z,TV2
2023-04-28T19:15:00Z,2023-04-29T05:15:00Z,TV2
2023-05-25T22:30:00Z,2023-05-26T02:30:00Z,TV2
2023-06-06T18:45:00Z,2023-06-06T22:15:00Z,TV2
2023-06-11T23:00:00Z,2023-06-12T05:30:00Z,TV2
2023-06-18T18:00:00Z,2023-06-18T21:00:00Z,TV2
2023-06-23T20:45:00Z,2023-06-24T00:15:00Z,TV2
2023-06-26T00:30:00Z,2023-06-26T05:30:00Z,TV2
2023-07-05T19:30:00Z,2023-07-06T05:30:00Z,TV2
2023-07-06T20:00:00Z,2023-07-07T01:15:00Z,TV2
2023-07-07T02:30:00Z,2023-07-07T05:45:00Z,TV2
2023-07-19T21:30:00Z,2023-07-20T01:15:00Z,TV2
2023-07-31T00:00:00Z,2023-07-31T05:30:00Z,TV2
2023-08-03T19:00:00Z,2023-08-04T00:45:00Z,TV2
2023-08-12T22:00:00Z,2023-08-13T04:30:00Z,TV2
2023-08-25T02:00:00Z,2023-08-25T05:30:00Z,TV2
2023-08-28T18:00:00Z,2023-08-29T00:15:00Z,TV2
2023-08-29T21:30:00Z,2023-08-30T00:45:00Z,TV2
2023-09-21T01:45:00Z,2023-09-21T05:30:00Z,TV2
2023-09-26T18:00:00Z,2023-09-27T01:00:00Z,TV2
2023-10-19T19:45:00Z,2023-10-20T05:30:00Z,TV2
2023-10-21T18:45:00Z,2023-10-21T22:30:00Z,TV2
2023-10-21T23:30:00Z,2023-10-22T05:45:00Z,TV2
2023-10-28T00:30:00Z,2023-10-28T03:30:00Z,TV2
2023-10-30T20:45:00Z,2023-10-31T05:45:00Z,TV2
2023-11-14T00:00:00Z,2023-11-14T03:30:00Z,TV2
2023-11-25T00:30:00Z,2023-11-25T05:45:00Z,TV2
