Tree,Group,periodBegin,periodEnd
ET1,1,2022-07-04T23:15:00Z,2022-07-05T05:30:00Z
ET1,2,2022-07-16T22:15:00Z,2022-07-17T01:30:00Z
ET1,3,2022-07-20T00:30:00Z,2022-07-20T03:45:00Z
ET1,4,2022-07-28T00:00:00Z,2022-07-28T04:00:00Z
ET1,5,2022-08-04T20:45:00Z,2022-08-05T00:00:00Z
ET1,6,2022-08-13T00:45:00Z,2022-08-13T05:30:00Z
ET1,7,2022-09-12T01:00:00Z,2022-09-12T04:00:00Z
ET1,8,2022-10-03T18:15:00Z,2022-10-03T22:00:00Z
ET1,9,2022-11-22T00:00:00Z,2022-11-22T04:15:00Z
ET1,10,2022-11-25T23:00:00Z,2022-11-26T02:00:00Z
ET1,11,2022-11-28T00:15:00Z,2022-11-28T03:15:00Z
ET1,12,2022-12-02T01:15:00Z,2022-12-02T04:45:00Z
ET1,13,2023-02-28T19:00:00Z,2023-02-28T22:15:00Z
ET1,14,2023-03-20T18:30:00Z,2023-03-20T21:45:00Z
ET2,15,2022-06-09T23:30:00Z,2022-06-10T04:45:00Z
ET2,16,2022-07-04T00:45:00Z,2022-07-04T04:00:00Z
ET2,17,2022-07-04T23:00:00Z,2022-07-05T05:30:00Z
ET2,18,2022-07-10T00:45:00Z,2022-07-10T05:30:00Z
ET2,19,2022-07-20T00:30:00Z,2022-07-20T05:30:00Z
ET2,20,2022-07-22T21:00:00Z,2022-07-23T01:00:00Z
ET2,21,2022-07-31T01:30:00Z,2022-07-31T04:30:00Z
ET2,22,2022-08-04T19:45:00Z,2022-08-05T01:00:00Z
ET2,23,2022-08-13T00:45:00Z,2022-08-13T05:45:00Z
ET2,24,2022-08-17T23:00:00Z,2022-08-18T02:00:00Z
ET2,25,2022-09-04T20:15:00Z,2022-09-05T01:45:00Z
ET2,26,2022-09-08T01:45:00Z,2022-09-08T05:30:00Z
ET2,27,2022-09-12T00:45:00Z,2022-09-12T04:00:00Z
ET2,28,2022-10-03T18:15:00Z,2022-10-03T22:00:00Z
ET2,29,2022-10-08T01:15:00Z,2022-10-08T05:30:00Z
ET2,30,2022-10-10T17:30:00Z,2022-10-10T21:30:00Z
ET2,31,2022-10-15T22:00:00Z,2022-10-16T04:15:00Z
ET2,32,2022-11-04T19:00:00Z,2022-11-04T22:45:00Z
ET2,33,2022-11-11T00:15:00Z,2022-11-11T03:30:00Z
ET2,34,2022-11-13T01:15:00Z,2022-11-13T05:45:00Z
ET2,35,2022-11-22T00:00:00Z,2022-11-22T04:15:00Z
ET2,36,2022-12-02T01:00:00Z,2022-12-02T04:45:00Z
ET2,37,2023-01-11T21:30:00Z,2023-01-12T01:00:00Z
ET2,38,2023-02-16T02:00:00Z,2023-02-16T05:15:00Z
ET2,39,2023-02-28T19:15:00Z,2023-02-28T22:15:00Z
ET2,40,2023-03-20T19:15:00Z,2023-03-20T22:15:00Z
ET2,41,2023-04-30T02:00:00Z,2023-04-30T05:15:00Z
ET3,42,2022-07-02T18:00:00Z,2022-07-02T21:00:00Z
ET3,43,2022-07-04T00:15:00Z,2022-07-04T04:15:00Z
ET3,44,2022-07-04T21:45:00Z,2022-07-05T05:45:00Z
ET3,45,2022-07-06T02:30:00Z,2022-07-06T05:30:00Z
ET3,46,2022-07-10T00:45:00Z,2022-07-10T05:45:00Z
ET3,47,2022-07-16T22:30:00Z,2022-07-17T01:30:00Z
ET3,48,2022-07-20T00:15:00Z,2022-07-20T06:00:00Z
ET3,49,2022-07-22T21:15:00Z,2022-07-23T01:15:00Z
ET3,50,2022-07-24T00:45:00Z,2022-07-24T03:45:00Z
ET3,51,2022-07-27T22:00:00Z,2022-07-28T04:00:00Z
ET3,52,2022-07-31T18:15:00Z,2022-07-31T21:15:00Z
ET3,53,2022-08-04T18:30:00Z,2022-08-05T00:15:00Z
ET3,54,2022-08-09T21:15:00Z,2022-08-10T01:45:00Z
ET3,55,2022-08-13T00:30:00Z,2022-08-13T05:45:00Z
ET3,56,2022-08-20T20:00:00Z,2022-08-20T23:00:00Z
ET3,57,2022-09-02T01:15:00Z,2022-09-02T06:00:00Z
ET3,58,2022-09-05T01:15:00Z,2022-09-05T05:30:00Z
ET3,59,2022-09-12T00:45:00Z,2022-09-12T04:15:00Z
ET3,60,2022-09-17T00:30:00Z,2022-09-17T05:00:00Z
ET3,61,2022-09-29T02:30:00Z,2022-09-29T05:30:00Z
ET3,62,2022-10-03T00:00:00Z,2022-10-03T05:45:00Z
ET3,63,2022-10-03T18:00:00Z,2022-10-03T22:15:00Z
ET3,64,2022-10-05T18:15:00Z,2022-10-06T00:15:00Z
ET3,65,2022-10-08T00:15:00Z,2022-10-08T03:15:00Z
ET3,66,2022-10-11T21:15:00Z,2022-10-12T01:15:00Z
ET3,67,2022-10-25T20:00:00Z,2022-10-25T23:00:00Z
ET3,68,2022-11-04T18:15:00Z,2022-11-04T22:00:00Z
ET3,69,2022-11-05T21:15:00Z,2022-11-06T00:45:00Z
ET3,70,2022-11-10T23:45:00Z,2022-11-11T03:45:00Z
ET3,71,2022-11-13T01:15:00Z,2022-11-13T06:00:00Z
ET3,72,2022-11-14T00:45:00Z,2022-11-14T03:45:00Z
ET3,73,2022-11-14T20:30:00Z,2022-11-14T23:30:00Z
ET3,74,2022-11-15T21:00:00Z,2022-11-16T00:00:00Z
ET3,75,2022-11-16T01:30:00Z,2022-11-16T05:45:00Z
ET3,76,2022-11-21T23:45:00Z,2022-11-22T04:15:00Z
ET3,77,2022-11-27T23:30:00Z,2022-11-28T03:15:00Z
ET3,78,2022-11-28T23:30:00Z,2022-11-29T02:45:00Z
ET3,79,2022-11-29T22:15:00Z,2022-11-30T06:00:00Z
ET3,80,2022-12-02T00:45:00Z,2022-12-02T05:00:00Z
ET3,81,2022-12-03T18:30:00Z,2022-12-03T22:45:00Z
ET3,82,2022-12-04T19:00:00Z,2022-12-05T01:00:00Z
ET3,83,2022-12-06T21:45:00Z,2022-12-07T02:15:00Z
ET3,84,2022-12-07T23:00:00Z,2022-12-08T02:15:00Z
ET3,85,2022-12-09T02:30:00Z,2022-12-09T05:30:00Z
