periodBegin,periodEnd,Tree
2022-07-02T18:00:00Z,2022-07-02T21:00:00Z,ET6
2022-07-04T00:45:00Z,2022-07-04T04:00:00Z,ET6
2022-07-04T23:15:00Z,2022-07-05T03:00:00Z,ET6
2022-07-31T18:15:00Z,2022-07-31T21:15:00Z,ET6
2022-08-13T00:45:00Z,2022-08-13T05:45:00Z,ET6
2022-09-04T23:30:00Z,2022-09-05T05:30:00Z,ET6
2022-09-12T01:00:00Z,2022-09-12T04:15:00Z,ET6
2022-10-03T00:00:00Z,2022-10-03T05:30:00Z,ET6
2022-10-03T18:00:00Z,2022-10-03T22:00:00Z,ET6
2022-10-05T19:15:00Z,2022-10-06T00:30:00Z,ET6
2022-11-14T00:45:00Z,2022-11-14T04:00:00Z,ET6
2022-11-14T22:45:00Z,2022-11-15T01:45:00Z,ET6
2022-11-15T02:15:00Z,2022-11-15T05:45:00Z,ET6
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET6
2022-11-28T23:45:00Z,2022-11-29T02:45:00Z,ET6
2022-11-29T22:30:00Z,2022-11-30T03:00:00Z,ET6
2022-12-02T00:45:00Z,2022-12-02T04:45:00Z,ET6
2022-12-04T19:15:00Z,2022-12-04T23:15:00Z,ET6
2022-12-14T19:15:00Z,2022-12-14T22:15:00Z,ET6
2023-01-10T00:00:00Z,2023-01-10T04:30:00Z,ET6
2023-01-19T19:00:00Z,2023-01-19T22:00:00Z,ET6
2023-03-08T19:30:00Z,2023-03-08T23:00:00Z,ET6
2023-05-01T21:45:00Z,2023-05-02T00:45:00Z,ET6
2023-06-20T02:00:00Z,2023-06-20T05:15:00Z,ET6
2023-06-28T00:15:00Z,2023-06-28T05:30:00Z,ET6
2023-07-05T19:30:00Z,2023-07-06T03:00:00Z,ET6
2023-07-28T18:00:00Z,2023-07-28T22:00:00Z,ET6
2023-07-30T20:30:00Z,2023-07-31T05:30:00Z,ET6
2023-07-31T20:00:00Z,2023-08-01T05:30:00Z,ET6
2023-08-03T21:30:00Z,2023-08-04T01:30:00Z,ET6
2023-08-21T02:00:00Z,2023-08-21T05:45:00Z,ET6
2023-08-26T00:00:00Z,2023-08-26T04:45:00Z,ET6
2023-08-31T00:30:00Z,2023-08-31T05:45:00Z,ET6
2023-09-11T23:00:00Z,2023-09-12T02:30:00Z,ET6
2023-09-28T22:30:00Z,2023-09-29T05:30:00Z,ET6
2023-11-07T02:15:00Z,2023-11-07T05:45:00Z,ET6
2023-11-09T18:00:00Z,2023-11-09T23:15:00Z,ET6
2023-11-14T21:15:00Z,2023-11-15T00:15:00Z,ET6
2023-11-25T23:30:00Z,2023-11-26T04:15:00Z,ET6
2023-12-15T00:15:00Z,2023-12-15T03:45:00Z,ET6
2024-01-05T18:00:00Z,2024-01-05T21:45:00Z,ET6
2024-01-09T22:00:00Z,2024-01-10T06:00:00Z,ET6
2024-01-11T21:45:00Z,2024-01-12T05:45:00Z,ET6
2024-01-12T22:00:00Z,2024-01-13T01:00:00Z,ET6
